"date","version","downloads"
"2026-07-05","2.0.0a3",770
"2026-07-05","2.0.0b1",5682
"2026-07-06","0.9.1",2312
"2026-07-06","1.0.0",1475
"2026-07-06","1.1.0",894
"2026-07-06","1.1.1",1581
"2026-07-06","1.1.2",1423
"2026-07-06","1.1.3",3045
"2026-07-06","1.10.0",12581
"2026-07-06","1.10.1",21189
"2026-07-06","1.11.0",15383
"2026-07-06","1.12.0",22078
"2026-07-06","1.12.1",37370
"2026-07-06","1.12.2",19796
"2026-07-06","1.12.3",13486
"2026-07-06","1.12.4",71893
"2026-07-06","1.13.0",22084
"2026-07-06","1.13.1",27309
"2026-07-06","1.14.0",22369
"2026-07-06","1.14.1",24873
"2026-07-06","1.15.0",24380
"2026-07-06","1.16.0",53152
"2026-07-06","1.17.0",24306
"2026-07-06","1.18.0",60741
"2026-07-06","1.19.0",72899
"2026-07-06","1.2.0",3961
"2026-07-06","1.2.0rc1",2
"2026-07-06","1.2.1",1967
"2026-07-06","1.20.0",62824
"2026-07-06","1.21.0",62341
"2026-07-06","1.21.1",62336
"2026-07-06","1.21.2",63189
"2026-07-06","1.22.0",77820
"2026-07-06","1.23.0",77539
"2026-07-06","1.23.1",68505
"2026-07-06","1.23.2",61351
"2026-07-06","1.23.3",559535
"2026-07-06","1.24.0",196875
"2026-07-06","1.25.0",291356
"2026-07-06","1.26.0",1188775
"2026-07-06","1.27.0",501159
"2026-07-06","1.27.1",731429
"2026-07-06","1.27.2",446584
"2026-07-06","1.28.0",308879
"2026-07-06","1.28.1",4768003
"2026-07-06","1.3.0",2696
"2026-07-06","1.3.0rc1",2
"2026-07-06","1.4.0",2911
"2026-07-06","1.4.1",3384
"2026-07-06","1.5.0",3376
"2026-07-06","1.6.0",17988
"2026-07-06","1.7.0",2327
"2026-07-06","1.7.1",2853
"2026-07-06","1.8.0",3372
"2026-07-06","1.8.1",9494
"2026-07-06","1.9.0",14057
"2026-07-06","1.9.1",13686
"2026-07-06","1.9.2",14538
"2026-07-06","1.9.3",13120
"2026-07-06","1.9.4",45458
"2026-07-06","2.0.0a1",355
"2026-07-06","2.0.0a2",536
"2026-07-06","2.0.0a3",2621
"2026-07-06","2.0.0b1",14570
"2026-07-07","0.7.0",1
"2026-07-07","0.9.1",3176
"2026-07-07","1.0.0",1580
"2026-07-07","1.1.0",1173
"2026-07-07","1.1.1",1444
"2026-07-07","1.1.2",1442
"2026-07-07","1.1.3",2969
"2026-07-07","1.10.0",13440
"2026-07-07","1.10.1",22269
"2026-07-07","1.11.0",16864
"2026-07-07","1.12.0",31589
"2026-07-07","1.12.1",33884
"2026-07-07","1.12.2",21038
"2026-07-07","1.12.3",14720
"2026-07-07","1.12.4",85749
"2026-07-07","1.13.0",24015
"2026-07-07","1.13.1",30371
"2026-07-07","1.14.0",26462
"2026-07-07","1.14.1",26165
"2026-07-07","1.15.0",26118
"2026-07-07","1.16.0",57096
"2026-07-07","1.17.0",25719
"2026-07-07","1.18.0",60111
"2026-07-07","1.19.0",72897
"2026-07-07","1.2.0",4429
"2026-07-07","1.2.0rc1",5
"2026-07-07","1.2.1",1935
"2026-07-07","1.20.0",65637
"2026-07-07","1.21.0",62039
"2026-07-07","1.21.1",61862
"2026-07-07","1.21.2",63507
"2026-07-07","1.22.0",78570
"2026-07-07","1.23.0",82741
"2026-07-07","1.23.1",70235
"2026-07-07","1.23.2",61109
"2026-07-07","1.23.3",644182
"2026-07-07","1.24.0",194921
"2026-07-07","1.25.0",312602
"2026-07-07","1.26.0",1297642
"2026-07-07","1.27.0",524721
"2026-07-07","1.27.1",681590
"2026-07-07","1.27.2",396021
"2026-07-07","1.28.0",380424
"2026-07-07","1.28.1",5475583
"2026-07-07","1.3.0",3240
"2026-07-07","1.3.0rc1",5
"2026-07-07","1.4.0",2886
"2026-07-07","1.4.1",4158
"2026-07-07","1.5.0",3666
"2026-07-07","1.6.0",20013
"2026-07-07","1.7.0",2280
"2026-07-07","1.7.1",2902
"2026-07-07","1.8.0",3255
"2026-07-07","1.8.1",10026
"2026-07-07","1.9.0",13586
"2026-07-07","1.9.1",14243
"2026-07-07","1.9.2",15078
"2026-07-07","1.9.3",14410
"2026-07-07","1.9.4",48156
"2026-07-07","2.0.0a1",448
"2026-07-07","2.0.0a2",6894
"2026-07-07","2.0.0a3",1254
"2026-07-07","2.0.0b1",20321
"2026-07-08","0.9.1",2893
"2026-07-08","1.0.0",1797
"2026-07-08","1.1.0",867
"2026-07-08","1.1.1",1567
"2026-07-08","1.1.2",1591
"2026-07-08","1.1.3",3862
"2026-07-08","1.10.0",10901
"2026-07-08","1.10.1",20369
"2026-07-08","1.11.0",13791
"2026-07-08","1.12.0",29078
"2026-07-08","1.12.1",25987
"2026-07-08","1.12.2",15448
"2026-07-08","1.12.3",12310
"2026-07-08","1.12.4",73909
"2026-07-08","1.13.0",19833
"2026-07-08","1.13.1",26816
"2026-07-08","1.14.0",22999
"2026-07-08","1.14.1",23769
"2026-07-08","1.15.0",21928
"2026-07-08","1.16.0",55550
"2026-07-08","1.17.0",25600
"2026-07-08","1.18.0",59368
"2026-07-08","1.19.0",74607
"2026-07-08","1.2.0",5057
"2026-07-08","1.2.0rc1",10
"2026-07-08","1.2.1",2397
"2026-07-08","1.20.0",58890
"2026-07-08","1.21.0",60441
"2026-07-08","1.21.1",60434
"2026-07-08","1.21.2",61809
"2026-07-08","1.22.0",77879
"2026-07-08","1.23.0",78605
"2026-07-08","1.23.1",69212
"2026-07-08","1.23.2",60584
"2026-07-08","1.23.3",625460
"2026-07-08","1.24.0",192842
"2026-07-08","1.25.0",308200
"2026-07-08","1.26.0",1372628
"2026-07-08","1.27.0",527345
"2026-07-08","1.27.1",623041
"2026-07-08","1.27.2",384782
